study,condition_arm1,condition_arm2,multi_arm1,multi_arm2,outcome_type,instrument,completer,time,time_weeks,rating,mean_arm1,sd_arm1,n_arm1,mean_arm2,sd_arm2,n_arm2,m_baseline_arm1,sd_baseline_arm1,n_baseline_arm1,m_baseline_arm2,sd_baseline_arm2,n_baseline_arm2,dich_type,event_arm1,event_arm2,totaln_arm1,totaln_arm2,.g,.g_se,condition_arm1.detail,condition_arm2.detail,condition_arm1.lumped_category,condition_arm1.intermediate_category,condition_arm1.meta_analysis,n_randomized_arm1,n_randomized_arm2,total_n_randomized,condition_arm1.psychotherapy_subclass,condition_arm1.treatment_description,condition_arm1.session_length,condition_arm1.frequency,condition_arm1.treatment_duration_detail,format,delivery_method,narrow_category,study_class,def_treatment_completion,percent_completed,psychotherapy_sessions_mean,psychotherapy_sessions_sd,psychotherapy_sessions_qual,military_status,percent_community,mean_age,country,female_percent,trauma_type,trauma_detail,rob_d1,rob_d2,rob_d3,rob_d4,rob_d5,rob,rob_numeric,arms_compared,year_added_to_ptsd_repository,intervention_group_ctr,design,outcome_assessment_type,statistical_analysis,g_data_source,precalc_g,precalc_g_se,intervention_group.arm1,intervention_group.arm2,year_added_to_repo,.id,ptsd_pubs_id,study_id,.log_rr,.log_rr_se,.event_arm1,.event_arm2,.totaln_arm1,.totaln_arm2,trtResponder,nTrt,ctrResponder,nCtr,logRR,seLogRR,logOR,seLogOR,full_ref
"Gray, 2019a",TF-Other,Waitlist,,,msd,PSS-I,itt,post,2,clinician,12.9,12.9,37,37.1,9.3,37,37.3,6.6,37,39.7,6.9,37,,,,,,2.129572316,0.2921425491,Reconsolidation of Traumatic Memories (RTM),Waitlist,TF-Other,TF-Other,TF-Other,37,37,74,Trauma-focused,"Brief, non-traumatizing trauma-focused CBT in which a consolidated trauma memory is reactivated using a brief narrative, then patients are presented with healthy dissociative distancing experiences and exercises to modify the perceptual structure of the memory",120 minutes,,3 sessions,Individual,In Person,TF-Other,Psychotherapy,,,,,,Veteran,0,48.6,U.S.,0,Mixed,"MST, combat-related, rape/sexual assault, accidents, community/school violence, terrorism/political violence/forced displacement, other (not specified)",Low,Low,Low,Low,Low,Low,3,A vs B,2020,B,ps-ct,Structured Clinical Interview,Paired student's t-test for change in mean score,Follow-up,2.13,0.294,A,B,2020,Gray_2019a_precalcfromVA_PSS-I_post_2.00_clinician_TF-Other_Waitlist_NA_NA,49545,gray2019a,,,,,,,25,37,1,37,3.218875824868201,0.9929481083853003,4.317488113536311,1.072898462628739,"Gray R, Budden-Potts D, Bourke F. Reconsolidation of traumatic memories for PTSD: a randomized controlled trial of 74 male veterans. Psychother Res. 2019 29(5): 621-639. DOI: 10.1080/10503307.2017.1408973"
"Hinton, 2009",CBT without trauma focus,Waitlist,,,msd,CAPS,other,post,12,clinician,46.83,17.17,12,74.25,9.43,12,75.41,13.47,12,77.25,11.47,12,,,,,,1.911293816,0.4983020182,Cognitive behavioral therapy (CBT) without a trauma focus,Waitlist,Non-trauma-focused,CBT without trauma focus,NTF-CBT,12,12,24,Non-Trauma-focused,"Manualized treatment according to Hinton et al. (2005) that includes muscle relaxation, guided imagery and mindfulness training, yoga-like stretching linked to self images of flexibility, cognitive restructuring, exercises used to teach emotional distancing and switching, and interceptive exposure",,Weekly,,Group,In Person,CBT without trauma focus,Psychotherapy,,,,,,Community,1,49.5,U.S.,0.5833,Terrorism/political violence/forced displacement,NR,Some Concerns,Low,Low,Low,Some Concerns,Some Concerns,2,A vs B,2019,B,ps-ct,Structured Clinical Interview,Repeated measures ANOVA,Follow-up,1.911,0.507,A,B,2019,Hinton_2009_precalcfromVA_CAPS_post_12.00_clinician_CBTwithouttraumafocus_Waitlist_NA_NA,33298,hinton2009,,,,,,,4,12,0,12,Inf,Inf,Inf,Inf,"Hinton DE, Hofmann SG, Pollack MH, et al. Mechanisms of efficacy of CBT for Cambodian refugees with PTSD: improvement in emotion regulation and orthostatic blood pressure response. CNS Neurosci Ther. 2009 Fall;15(3):255-63. doi: 10.1111/j.1755-5949.2009.00100.x. PMID: 19691545."
"Hogberg, 2007",EMDR,Waitlist,,,msd,IES,completer,post,8,self-report,23.2,17.4,12,34,16.2,9,39.3,17.2,12,39.1,12.6,8,,,,,,0.6133052369,0.4518430059,Eye Movement Desensitization and Reprocessing (EMDR),Waitlist,EMDR,EMDR,EMDR,13,11,24,Trauma-focused,Breathing and relaxation technique presented at beginning of each session. EMDR consists of therapist-guided psychotherapy designed to help shift negative thoughts and bodily distress to desired positive thoughts through sensory stimulations with rhythmic quality and left-right alternating character,90 minutes,,5 sessions total,Individual,In Person,EMDR,Psychotherapy,,,,,,Community,1,43,Sweden,0.2083,Mixed,"accidents, community/school violence",Low,High,Low,High,Low,High,1,A vs B,2019,B,ps-ct,Self report,"Fisher's exact test for primary outcome, Mann-Whitney U-test for between-group secondary outcomes, Wilcoxon for within-group for secondary outcomes",Follow-up,0.613,0.453,A,B,2019,Hogberg_2007_precalcfromVA_IES_post_8.00_self-report_EMDR_Waitlist_NA_NA,38652,hogberg2007,,,,,,,5,12,2,9,0.6286086594223742,0.711024300256718,0.9162907318741551,0.992831448793946,"Hogberg G, Pagani M, Sundin O, et al. On treatment with eye movement desensitization and reprocessing of chronic post-traumatic stress disorder in public transportation workers--a randomized controlled trial. Nord J Psychiatry. 2007;61(1):54-61. doi:  10.1080/08039480601129408. PMID: 17365790."
"Hollifield, 2007",TF-CBT,Waitlist,,,msd,PSS-SR,itt,post,12,self-report,20.02,10.56,25,27.92,12.33,24,32.52,6.63,25,30.79,9.54,24,,,,,,0.6782728155,0.2941350412,Trauma-focused cognitive behavioral therapy (TF-CBT),Waitlist,TF-CBT,Mixed exposure/ cognitive,TF-CBT,28,27,84,Trauma-focused,"Integrates 4 modalities that have direct and theoretical evidence of efficacy: psychoeducation, behavioral activation, activity planning, cognitive restructuring, imagery rehearsal, exposure and desensitization",2 hours,Once weekly,,Individual,In Person,TF-CBT,Psychotherapy & CIH,,0.84,,,,Community,1,42.2,U.S.,0.6786,NR,NR,Low,Low,Low,High,Low,High,1,B vs C,2019,C,ps-ct,Self report,MANOVA was used to compute 3 planned contrasts to compare each pairwise combination of study groups in both intent-to-treat and treatment completion models. Cohen's d for within-group treatment effect sizes using change from baseline.,Follow-up,0.678,0.295,B,C,2019,Hollifield_2007_precalcfromVA_PSS-SR_post_12.00_self-report_TF-CBT_Waitlist_NA_NA,29609,hollifield2007,,,,,,,9,25,4,24,0.7701082216960737,0.5286250509051236,1.034073767530538,0.6881940940687526,"Hollifield M, Sinclair-Lian N, Warner TD, et al. Acupuncture for posttraumatic stress disorder: a randomized controlled pilot trial. J Nerv Ment Dis. 2007 Jun;195(6):504-13. doi: 10.1097/NMD.0b013e31803044f8. PMID: 17568299."
"Ivarsson, 2014",Other non-trauma-focused,Other,,,msd,PDS,itt,post,8,self-report,17.32,9.86,28,25.04,11.14,26,31.9,6.52,31,29.84,8.77,31,,,,,,0.7249354015,0.2814001172,Internet-based facilitated self-help,Minimal attention,Non-trauma-focused,Other non-trauma-focused,Other non-trauma-focused,31,31,62,,"Guided internet-delivered CBT for PTSD: 8 text-based modules including validated components of ""psychoeducation, anxiety coping skills training, exposure, and cognitive restructuring"".",,Weekly,,Individual,Technology Assisted,Other non-trauma-focused,Other study class,completed all modules,0.387,5.1,3.2,,Community,1,46,Sweden,0.823,Mixed,"intimate partner violence, accidents, illness/medical procedure, combat-related, natural or manmade disasters, community/school violence, other (torture, multiple stressors)",Low,Low,Low,High,Low,High,1,A vs B,2019,B,ps-ct,Self report,Continuous outcomes: linear mixed-effects model fitted with full information maximum-likelihood estimation. Standard difference in average trajectories (d) for growth models and 95% confidence intervals for traditional Cohen's d. Categorical outcomes: logistic regression fitted with maximum likelihood.,Follow-up,0.725,0.282,A,B,2019,Ivarsson_2014_precalcfromVA_PDS_post_8.00_self-report_Othernon-trauma-focused_Other_NA_NA,44101,ivarsson2014,,,,,,,12,28,5,26,0.8013607652001778,0.4573374128119295,1.147402452837542,0.6272578265373665,"Ivarsson D, Blom M, Hesser H, et al. Guided internet-delivered cognitive behavior therapy for post-traumatic stress disorder: a randomized controlled trial. Internet Interv. 2014 March;1(1):33-40. doi: 10.1016/j.invent.2014.03.002."
"Jacob, 2014",Mixed psychotherapy,Waitlist,,,msd,CAPS,itt,post,8,clinician,61.47,23.72,37,66.68,16.51,36,75.16,18.02,38,72.32,15.02,38,,,,,,0.2516313311,0.2350485802,Narrative Exposure Therapy (NET) + Interpersonal Psychotherapy (IPT),Waitlist,Mixed psychotherapy,Mixed psychotherapy,Mixed psychotherapy,38,38,76,Trauma-focused,Combined NET with IPT. First treatment session consists of psychoeducation. NET consists of the therapist recording participant's story in writing while seeking to reactivate the associated thoughts and emotions and raise the participant's awareness of his/her concomitant bodily responses. The IPT portion targets symptoms of depression and grief related to the losses and to raise awareness about major current problems,90 to 150 minutes,Weekly,,Individual,In Person,Mixed psychotherapy,Psychotherapy,,,,,,Community,1,37.57,Rwanda,0.9211,Mixed,"rape/sexual assault, terrorism/political violence/forced displacement",Some Concerns,Low,Low,Low,Low,Some Concerns,2,A vs B,2019,B,ps-ct,Structured Clinical Interview,ANOVA for change in mean score,Follow-up,0.252,0.235,A,B,2019,Jacob_2014_precalcfromVA_CAPS_post_8.00_clinician_Mixedpsychotherapy_Waitlist_NA_NA,43991,jacob2014,,,,,,,6,37,1,36,1.764360495039941,1.054448605604779,1.913120326232322,1.107924257228004,"Jacob N, Neuner F, Maedl A, et al. Dissemination of psychotherapy for trauma spectrum disorders in postconflict settings: a randomized controlled trial in Rwanda. Psychother Psychosom. 2014 Nov;83(6):354-63. doi: 10.1159/000365114. PMID: 25323203."
"Jain, 2020",Other non-trauma-focused,TAU,,,msd,PCL,completer,post,,self-report,34.1,15.8,13,39.6,17.8,12,48.9,13.6,13,42.1,15.6,13,,,,,,0.3168469691,0.4029931537,Skills Training in Affect and Interpersonal Regulation (STAIR),Treatment as usual (TAU),Non-trauma-focused,Other non-trauma-focused,Other non-trauma-focused,13,13,26,Non-Trauma-focused,"Five 60-min appointments during which emotion regulation and interpersonal skills, or “tools,” were flexibly selected following a strengths-based approach whereby the skills selected were those that a client already used and was effective in implementing",1 hour,,5 total sessions,Individual,In Person,Other non-trauma-focused,Psychotherapy,Attended all 5 sessions,0.846,,,,Veteran,0,55.12,U.S.,0.15,NR,,Low,Low,Low,High,Low,High,1,A vs B,2022,B,ps-ct,Self report,MANOVA,Follow-up,0.317,0.4,A,B,2022,Jain_2020_precalcfromVA_PCL_post_NA_self-report_Othernon-trauma-focused_TAU_NA_NA,1554457,jain2020,,,,,,,4,13,2,12,0.6131044728864089,0.7679476477883045,0.7985076962177714,0.9803627446568495,"Jain S, Ortigo K, Gimeno J, Baldor DA, Weiss BJ, Cloitre M. A Randomized Controlled Trial of Brief Skills Training in Affective and Interpersonal Regulation (STAIR) for Veterans in Primary Care. J Trauma Stress. 2020 Aug;33(4):401-409. doi: 10.1002/jts.22523. Epub 2020 Jun 7. PMID: 32506563."
"Jarero, 2019",EMDR,Waitlist,,,msd,PCL,completer,post,,self-report,3.3,3.98,30,32.7,7.13,30,39.2,8.02,30,38.27,6.22,30,,,,,,5.025695742,0.5317162832,Eye Movement Desensitization and Reprocessing (EMDR),Waitlist,EMDR,EMDR,EMDR,30,30,60,Trauma-focused,"EMDR Protocol for Recent Critical Incidents and Ongoing Traumatic Stress. Three-pronged approach addressing past, present, and future. Manualized treatment with eight phases: 1) Patient history (brief description of trauma), 2) Preparation (including butterfly hug as an alternative to EMDR, and postdisaster self-soothing strategies), 3) Assessment (patient reviews adverse experience from before it began through present into future, identifying disturbing memories), 4) Desensitization (reviewing disturbing memories simultaneously with EMDR or butterfly hug), 5) Global installation (developing a positive cognition applied to the whole adverse experience), 6) Body scan, 7) Self-soothing, and 8) Standard procedures (not described).",60 minutes,Twice daily,"Intensive therapy, two sessions in one day",Individual,In Person,EMDR,Psychotherapy,Did not drop out of treatment,1,,,,Community,1,33.73,Mexico,0.317,Other,"traumas experienced as first responders (e.g. witnessing deaths; witnessing victims of child physical abuse, rape/sexual assault, intimate partner violence, accidents, pregnancy loss, community/school violence, and natural or manmade disasters (fire); threat of own death in a fire)",Low,Low,Low,High,Low,High,1,A vs B,2022,B,ps-ct,Self report,ANOVA for repeated measures,,,,A,B,2022,Jarero_2019_precalcfromVA_PCL_post_NA_self-report_EMDR_Waitlist_NA_NA,1618469,jarero2019,,,,,,,30,30,1,30,3.401197381662155,0.983192080250175,Inf,Inf,"Jarero I, Schnaider S, Givaudan M. Randomized controlled trial: Provision of EMDR protocol for recent critical incidents and ongoing traumatic stress to first responders. Journal of EMDR Practice and Research. 2019;13(2):100-10. doi: 10.1891/1933-3196.13.2.100."
"Jensen, 1994",EMDR,TAU,,,msd,SI-PTSD,other,post,1.43,clinician,35.69,12,13,46.92,10.22,12,29.92,11.14,13,37.08,9.22,12,,,,,,0.9710020023,0.4247598391,Eye Movement Desensitization and Reprocessing (EMDR),Treatment as usual,EMDR,EMDR,EMDR,13,12,25,Trauma-focused,"Treatment included 1 history-taking session and 2 EMDR sessions. Therapist instructs the participant to visualize a picture of the traumatic scene and concentrate on previously identified negative statement associated with the trauma. Then the participant simultaneously focus on  the physical sensation of anxiety and visually track therapist's finger as it moves rapidly back-and-forth, inducing saccadic eye movement. Saccades were elicited continuously until subjective units of distress reached 0.",,,,Individual,In Person,EMDR,Psychotherapy,,,,,,Veteran,0,43.1,U.S.,0,NR,NR,High,High,Low,High,Low,High,1,A vs B,2019,B,ps-ct,Structured Clinical Interview,ANCOVA for change in mean score,Follow-up,0.971,0.427,A,B,2019,Jensen_1994_precalcfromVA_SI-PTSD_post_1.43_clinician_EMDR_TAU_NA_NA,4669,jensen1994,,,,,,,1,13,0,12,Inf,Inf,Inf,Inf,Jensen JA. An investigation of Eye Movement Desensitization Reprocessing (EMD/R) as a treatment for posttraumatic stress disorder (PTSD) symptoms of Vietnam combat veterans. Behav Ther. 1994 Spring;25(2):311-25. doi: 10.1016/S0005-7894(05)80290-4.
"Johnson, 2011",CBT without trauma focus,TAU,,,msd,CAPS,itt,post,8,clinician,24.76,18.47,34,42.38,29.33,34,53.34,24.29,35,62.69,25.38,35,,,,,,0.7107167177,0.250247555,Cognitive behavioral therapy (CBT) without a trauma focus,Treatment as usual,Non-trauma-focused,CBT without trauma focus,NTF-CBT,35,35,70,Non-Trauma-focused,"Participants provided with an ""empowerment toolbox"" that includes an exhaustive list of positive coping strategies regarding safety and empowerment, managing symptoms, and improving relationships. Core modules included engagement and goal setting, psychoeducation about abuse and PTSD, safety planning, establishing trust, cognitive restructuring, managing triggers, self-soothing, establishing boundaries, anger management, and establishing long-term support. Participants who left shelter prior to completing 12 sessions were referred to treatment in community",1 to 1.5 hours,Up to twice weekly,12 sessions total,Individual,In Person,CBT without trauma focus,Psychotherapy,attending ≥5 sessions,0.6286,6.8,4.3,,Community,1,32.55,U.S.,1,Intimate partner violence,NR,Low,Low,Low,Some Concerns,Low,Some Concerns,2,A vs B,2019,B,ps-ct,Structured Clinical Interview,"Hierarchical linear modeling, Cohen's d for change in mean scores, chi-square, odds ratio, and relative risk for binary outcomes",Follow-up,0.711,0.251,A,B,2019,Johnson_2011_precalcfromVA_CAPS_post_8.00_clinician_CBTwithouttraumafocus_TAU_NA_NA,37002,johnson2011,,,,,,,18,34,12,34,0.4054651081081644,0.2829582292090551,0.723918839226699,0.496833407032412,"Johnson DM, Zlotnick C, Perez SK. Cognitive behavioral treatment of PTSD in residents of battered women's shelters: results of a randomized clinical trial. J Consult Clin Psychol. 2011 Aug;79(4):542-51. doi: 10.1037/a0023822. PMID: 21787052."
"Karatzias, 2019",EMDR,TAU,,,msd,PCL,itt,post,,self-report,28.5,18.77,12,35.14,13,13,49.29,12.66,15,45.14,13.31,14,,,,,,0.4007934639,0.4045885568,Eye Movement Desensitization and Reprocessing (EMDR),Treatment as usual (TAU),EMDR,EMDR,EMDR,15,14,29,Trauma-focused,"Eight-phase treatment protocol which includes components of affect management, psychoeducation, assessment of distressing memory components, bilateral stimulation to reach Subjective Units of Discomfort Scale score of 0 and Validity of Cognition Scale score of 7, and re-evaluation. The bilateral stimulation included standard light bar, tactile and auditory stimulus in order to accommodate the participants' disabilities.",1 hour,,up to 8 sessions,Individual,In Person,EMDR,Psychotherapy,,,3.1,2.15,,NR,,42.1,U.K.,0.62,NR,NR,Low,Low,Low,High,Low,High,1,A vs B,2020,B,ps-ct,Self report,Two-way repeated-measures ANOVA,Follow-up,0.401,0.405,A,B,2020,Karatzias_2019_precalcfromVA_PCL_post_NA_self-report_EMDR_TAU_NA_NA,52277,karatzias2019,,,,,,,5,12,2,13,0.9963334395476915,0.7346724370381603,1.368275855617212,0.9663158043653399,"Karatzias T, Brown M, Taggart L, et al. A mixed-methods, randomized controlled feasibility trial of Eye Movement Desensitization and Reprocessing (EMDR) plus Standard Care (SC) versus SC alone for DSM-5 Posttraumatic Stress Disorder (PTSD) in adults with intellectual disabilities. J Appl Res Intellect Disabil. 2019 Jul;32(4):806-18. doi: 10.1111/jar.12570. PMID: 30714684."
"Keane, 1989",Exposure Therapy,Waitlist,,,msd,MMPI,other,post,,self-report,28.8,15,11,31.9,12,13,36.4,10.6,11,36.5,6.7,13,,,,,,0.2225874521,0.411022388,Implosive Therapy,Waitlist,TF-CBT,Primarily exposure,Prim exposure,11,13,24,Trauma-focused,"Treatment following therapy manual; included relaxation therapy, flooding, integration of new information or emotions evoked from imagery just presented, and intersession homework; primary focus of therapy is gradual presentation of stimulus and response of traumatic memory in the context of a supportive clinical relationship.",90 minutes,,14 to 16 total sessions,Individual,In Person,Exposure Therapy,Psychotherapy,,,,,,Veteran,0,34.6,U.S.,0,Combat-related,NR,High,High,Low,High,High,High,1,A vs B,2019,B,ps-ct,Self report,Two-way univariate repeated measures ANOVA with two-tailed t-tests; chi-squared analyses for categorical variables,Follow-up,0.223,0.411,A,B,2019,Keane_1989_precalcfromVA_MMPI_post_NA_self-report_ExposureTherapy_Waitlist_NA_NA,1015,keane1989,,,,,,,3,11,2,13,0.5725191927713305,0.8157825479263241,0.723918839226699,1.024325350776024,"Keane TM, Fairbank JA, Caddell JM, et al. Implosive (flooding) therapy reduces symptoms of PTSD in Vietnam combat veterans. Behav Ther. 1989 Spring;20(2):245-60. doi: 10.1016/S0005-7894(89)80072-3."
"Kent, 2011",Other non-trauma-focused,Waitlist,,,msd,PDS,itt,post,12,self-report,23,12.23,20,36.9,9.65,19,35.9,9.49,20,37.53,9.77,19,,,,,,1.232206161,0.3505950622,Resilience-oriented treatment,Waitlist,Non-trauma-focused,Other non-trauma-focused,Other non-trauma-focused,20,19,39,Non-Trauma-focused,"Manualized intervention fostering resilience resources (e.g., awareness of positive emotions; social connectedness) that individuals are encouraged to draw on in later sessions when they revisit traumatic episodes or experience PTSD symptoms. Week 1 = introduction to concept of resilience; weeks 2-3 = attention to bodily sensations as sources of vitality and engagement; weeks 4-7 = building positive emotional experiences and social bonds; weeks 8-10 = revisiting stressors and traumas while tapping into positive emotional resources and social bonds developed in earlier sessions; weeks 11-12 = developing a plan to sustain change.",90 minutes,Weekly,,Group,In Person,Other non-trauma-focused,Psychotherapy,,,9.75,2.24,,Veteran,0,54,U.S.,0.33,Mixed,"combat-related, child physical abuse, child other abuse, rape/sexual assault, accidents, community/school violence",Some Concerns,Low,Low,High,Low,High,1,A vs B,2019,B,ps-ct,Self report,Repeated measures ANOVA with t-tests for within-group change; Cohen's d effect sizes,Follow-up,1.232,0.352,A,B,2019,Kent_2011_precalcfromVA_PDS_post_12.00_self-report_Othernon-trauma-focused_Waitlist_NA_NA,85582,kent2011,,,,,,,7,20,1,19,1.894616854667763,1.019914488528217,2.271332549489941,1.1293076530936,"Kent M, Davis MC, Stark SL, et al. A resilience-oriented treatment for posttraumatic stress disorder: results of a preliminary randomized clinical trial. J Trauma Stress. 2011 Oct;24(5):591-5. doi: 10.1002/jts.20685. PMID: 21898603."
